domaine,sous_motif,effectif,pct_domaine
Sous domaine Monetique,Opérations GAB AFB,695,54.1
Sous domaine Monetique,Opérations GAB,288,22.4
Sous domaine Monetique,Autre,91,7.1
Sous domaine Monetique,Versement GAB,74,5.8
Sous domaine Monetique,Paiement En Ligne,71,5.5
Sous domaine Monetique,Opérations GAB Confrère,41,3.2
Sous domaine Monetique,Opérations TPE,22,1.7
Sous domaine Monetique,Carte Blanche,2,0.2
Sous domaine Monetique,Carte Volée,1,0.1
Sous domaine Operations bancaire,Problème Cash Deposit,129,33.7
Sous domaine Operations bancaire,Opération Contestée,118,30.8
Sous domaine Operations bancaire,Autre,105,27.4
Sous domaine Operations bancaire,Problème de Crédit,17,4.4
Sous domaine Operations bancaire,Solde Erroné,14,3.7
Sous domaine Sara transactionnel,Échec Cash-In,1401,37.0
Sous domaine Sara transactionnel,Échec Wallet-to-Other-Wallet,1051,27.8
Sous domaine Sara transactionnel,Bénéficiaire erroné,849,22.4
Sous domaine Sara transactionnel,Fond non perçu,193,5.1
Sous domaine Sara transactionnel,Échec Cash-Out,144,3.8
Sous domaine Sara transactionnel,Échec Wallet-to-Wallet,114,3.0
Sous domaine Sara transactionnel,Échec MAC Bank-to-Wallet,21,0.6
Sous domaine Sara transactionnel,Échec Achat Air-Time,4,0.1
Sous domaine Sara transactionnel,Échec MAC Wallet-to-Bank,4,0.1
Sous domaine Sara transactionnel,Échec Paiement Facture,4,0.1
